id,0,13,17,24,30,33,65,89,101,105,114,164,176,183,199,201,226,244,272,289
250,0.5,-0.232,0.764,0.183,-1.003,1.988,-1.01,0.718,1.464,0.585,-0.638,-1.123,-1.283,0.048,-0.298,-0.488,0.54,1.437,0.114,1.007
251,0.776,-0.563,-2.107,0.475,1.077,0.543,-0.781,-0.717,-0.981,-0.599,1.093,-0.643,-0.67,-1.795,0.961,-0.426,0.476,0.748,0.437,-0.433
252,1.75,0.014,-1.039,0.427,-0.036,-1.191,-0.529,0.434,0.266,0.322,0.089,-0.154,-1.331,-0.471,0.329,-0.847,-0.751,-0.425,1.672,-0.645
253,-0.556,-0.196,0.857,0.173,-0.374,0.542,0.754,-1.244,0.321,0.267,1.423,0.565,-1.506,1.089,-0.336,-1.032,-1.386,-1.636,-1.106,0.235
254,0.754,-0.259,0.006,1.13,0.794,0.635,-1.21,-0.056,-0.174,-1.048,-0.662,-1.152,2.212,-1.116,-2.235,1.718,-1.592,0.892,-0.588,0.458
255,-1.65,-0.016,-0.491,-0.059,-0.486,-0.605,-1.751,0.417,1.493,0.062,1.218,0.756,-0.827,0.246,0.797,0.039,-0.515,0.247,0.42,-0.892
256,0.096,-0.622,1.256,-0.049,0.766,-0.175,-1.085,0.065,1.503,0.467,0.133,-0.451,2.299,-0.807,0.704,0.276,-0.002,-0.947,1.19,-0.968
257,-1.205,-1.243,0.121,-0.13,2.026,0.003,-0.957,-0.811,-0.206,-0.763,-0.619,0.25,-0.519,-0.673,-0.056,-1.62,0.143,-0.359,0.496,-0.281
258,-0.377,0.85,-0.726,0.109,0.034,0.18,1.466,2.843,-0.528,0.286,0.352,0.075,-0.297,-1.379,0.296,-0.519,-0.408,1.011,0.681,-0.555
259,-1.731,-0.317,-0.913,-1.178,1.302,-2.246,-0.407,1.568,0.241,-0.054,-0.387,-0.338,0.303,-0.056,0.613,0.291,0.89,-1.648,-1.394,1.066
260,1.208,1.554,-1.515,-1.69,0.494,0.904,0.353,-0.1,0.411,0.016,-1.196,-1.224,1.635,-1.439,0.34,0.461,-0.727,0.036,1.559,0.267
261,-0.541,-0.422,-1.749,0.353,-0.31,-0.246,-0.629,-1.835,-0.596,-0.169,-0.4,-0.81,0.881,-0.844,-0.263,0.236,-0.809,-0.7,0.851,0.499
262,0.647,-0.906,-0.296,0.024,-1.027,0.083,-0.217,-1.434,1.35,0.034,0.186,-1.722,-0.431,-0.688,-1.001,-0.219,1.617,-0.828,0.837,1.234
263,0.98,-1.563,-0.846,1.411,2.063,-0.797,0.628,0.134,1.209,-0.596,-0.981,-0.332,-0.023,1.217,0.152,-0.133,0.877,-0.28,0.33,0.589
264,0.49,-0.982,0.204,0.542,0.015,-0.883,-1.854,0.532,-1.859,0.385,-0.93,1.261,-0.605,-1.739,-0.742,0.5,-0.451,2.109,-0.327,0.373
265,-0.156,1.377,0.955,-0.034,0.597,0.043,0.363,0.842,-0.237,0.224,1.23,0.611,-0.107,-1.064,2.368,-0.603,0.682,-1.54,-1.276,-0.009
266,-0.03,0.966,-1.272,2.935,3.2,-0.1,-2.253,2.126,-0.57,-0.742,1.495,1.045,-0.693,-0.308,0.348,0.652,1.442,0.448,-0.903,0.601
