id,33,65,24,183,199,201,30,289,114,164
250,1.988,-1.01,0.183,0.048,-0.298,-0.488,-1.003,1.007,-0.638,-1.123
251,0.543,-0.781,0.475,-1.795,0.961,-0.426,1.077,-0.433,1.093,-0.643
252,-1.191,-0.529,0.427,-0.471,0.329,-0.847,-0.036,-0.645,0.089,-0.154
253,0.542,0.754,0.173,1.089,-0.336,-1.032,-0.374,0.235,1.423,0.565
254,0.635,-1.21,1.13,-1.116,-2.235,1.718,0.794,0.458,-0.662,-1.152
255,-0.605,-1.751,-0.059,0.246,0.797,0.039,-0.486,-0.892,1.218,0.756
256,-0.175,-1.085,-0.049,-0.807,0.704,0.276,0.766,-0.968,0.133,-0.451
257,0.003,-0.957,-0.13,-0.673,-0.056,-1.62,2.026,-0.281,-0.619,0.25
258,0.18,1.466,0.109,-1.379,0.296,-0.519,0.034,-0.555,0.352,0.075
259,-2.246,-0.407,-1.178,-0.056,0.613,0.291,1.302,1.066,-0.387,-0.338
260,0.904,0.353,-1.69,-1.439,0.34,0.461,0.494,0.267,-1.196,-1.224
261,-0.246,-0.629,0.353,-0.844,-0.263,0.236,-0.31,0.499,-0.4,-0.81
262,0.083,-0.217,0.024,-0.688,-1.001,-0.219,-1.027,1.234,0.186,-1.722
263,-0.797,0.628,1.411,1.217,0.152,-0.133,2.063,0.589,-0.981,-0.332
264,-0.883,-1.854,0.542,-1.739,-0.742,0.5,0.015,0.373,-0.93,1.261
265,0.043,0.363,-0.034,-1.064,2.368,-0.603,0.597,-0.009,1.23,0.611
266,-0.1,-2.253,2.935,-0.308,0.348,0.652,3.2,0.601,1.495,1.045
267,-0.39,0.711,-0.602,-0.026,1.182,0.315,-0.94,-0.417,0.804,1.427
268,-0.467,-0.263,0.371,-0.409,0.511,-0.363,0.522,0.069,-0.932,1.724
269,-1.592,-0.306,0.678,-1.333,0.402,1.807,-0.893,0.201,-0.183,-1.165
270,-0.591,-1.013,-1.169,-1.114,1.159,-0.111,-0.193,0.655,-0.031,-0.95
271,-0.531,0.172,1.025,0.251,0.838,1.107,1.165,0.59,-0.462,0.337
272,-0.594,-0.288,-0.421,-0.964,-0.586,1.434,0.777,0.989,0.365,-1.841
273,-0.71,-0.844,-1.265,2.171,-0.275,-0.822,0.072,-0.906,-1.064,2.129
274,-0.541,-0.83,0.531,-0.715,-0.94,-0.143,1.881,0.853,-1.253,0.455
275,-1.126,0.443,0.065,1.221,-0.239,0.209,-0.094,1.454,-0.513,0.501
276,-0.228,-1.652,0.204,-1.056,-1.979,-0.466,-0.655,0.675,-0.076,-0.598
277,0.899,0.257,0.491,0.759,-0.644,0.635,-0.801,-0.682,-1.107,-1.264
278,1.01,1.041,-0.553,1.272,0.414,-0.3,1.653,0.526,-0.732,-2.406
279,-0.075,-0.175,-0.759,0.368,1.738,-2.135,1.136,0.766,-0.637,1.018
280,-0.95,0.24,0.821,-0.912,1.325,-1.151,0.742,-0.108,-1.035,0.054
281,0.589,-1.63,-1.07,1.152,0.569,-0.487,-0.499,0.297,-0.65,2.409
282,-1.708,1.441,1.063,2.148,0.672,-0.941,0.832,1.803,-0.666,-1.265
283,-0.991,-0.19,1.011,0.743,-2.786,-0.33,-0.873,-0.492,-0.063,1.445
284,1.276,0.037,-1.038,0.521,-1.526,-0.534,-0.418,0.457,0.56,0.782
