id,33,65,24,183,199
250,1.988,-1.01,0.183,0.048,-0.298
251,0.543,-0.781,0.475,-1.795,0.961
252,-1.191,-0.529,0.427,-0.471,0.329
253,0.542,0.754,0.173,1.089,-0.336
254,0.635,-1.21,1.13,-1.116,-2.235
255,-0.605,-1.751,-0.059,0.246,0.797
256,-0.175,-1.085,-0.049,-0.807,0.704
257,0.003,-0.957,-0.13,-0.673,-0.056
258,0.18,1.466,0.109,-1.379,0.296
259,-2.246,-0.407,-1.178,-0.056,0.613
260,0.904,0.353,-1.69,-1.439,0.34
261,-0.246,-0.629,0.353,-0.844,-0.263
262,0.083,-0.217,0.024,-0.688,-1.001
263,-0.797,0.628,1.411,1.217,0.152
264,-0.883,-1.854,0.542,-1.739,-0.742
265,0.043,0.363,-0.034,-1.064,2.368
266,-0.1,-2.253,2.935,-0.308,0.348
267,-0.39,0.711,-0.602,-0.026,1.182
268,-0.467,-0.263,0.371,-0.409,0.511
269,-1.592,-0.306,0.678,-1.333,0.402
270,-0.591,-1.013,-1.169,-1.114,1.159
271,-0.531,0.172,1.025,0.251,0.838
272,-0.594,-0.288,-0.421,-0.964,-0.586
273,-0.71,-0.844,-1.265,2.171,-0.275
274,-0.541,-0.83,0.531,-0.715,-0.94
275,-1.126,0.443,0.065,1.221,-0.239
276,-0.228,-1.652,0.204,-1.056,-1.979
277,0.899,0.257,0.491,0.759,-0.644
278,1.01,1.041,-0.553,1.272,0.414
279,-0.075,-0.175,-0.759,0.368,1.738
280,-0.95,0.24,0.821,-0.912,1.325
281,0.589,-1.63,-1.07,1.152,0.569
282,-1.708,1.441,1.063,2.148,0.672
283,-0.991,-0.19,1.011,0.743,-2.786
284,1.276,0.037,-1.038,0.521,-1.526
285,-1.546,-0.552,1.538,0.29,0.339
286,1.805,-1.207,1.031,-1.967,-1.241
287,-0.906,0.102,-0.175,0.567,1.286
288,0.552,1.056,1.328,0.915,0.722
289,0.933,2.203,-0.6,0.342,0.327
